# SMSModForge bust art — AliceBust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Gothina1  |  256x256
_extra/AliceBust.PNG  <-  AliceBust  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  X_0007_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  X_0004_Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  X_0006_Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  X_0005_Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Gothina1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  X_0000_Mouth4  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  X_0001_Mout3  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  X_0002_Mouth2  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  X_0003_Mouth1  |  256x256
Mask.PNG  <-  MBase1 [material Alicebase]  |  AliceMask  |  256x256
