# SMSModForge bust art — Amelia_defaultbust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  AemliaBase1  |  256x256
_extra/Amelia_defaultbust.PNG  <-  Amelia_defaultbust  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  AemliaBase1Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  AemliaBase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Mouth4  |  256x256
Mask.PNG  <-  MBase1 [material Ameliashader]  |  AemliaBase1Mask1  |  256x256
