# SMSModForge bust art — Gabriel_Bust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  D1Base  |  GabrielBust1  |  256x256
Blink.PNG  <-  D1Base/Blink  |  X_0003_blink  |  256x256
ExpressionAngry.PNG  <-  D1Base/Expressions/Angry  |  X_0001_Angry  |  256x256
ExpressionFlirty.PNG  <-  D1Base/Expressions/Flirty  |  X_0002_Happy  |  256x256
ExpressionHappy.PNG  <-  D1Base/Expressions/Happy  |  X_0002_Happy  |  256x256
ExpressionSad.PNG  <-  D1Base/Expressions/Sad  |  X_0000_sad  |  256x256
_extra/D1Base/Leave.PNG  <-  D1Base/Leave  |  GabrielBust1  |  256x256
Mouth1.PNG  <-  D1Base/Mouth/1  |  X_0004_Mouth1-Kopie-3  |  256x256
Mouth2.PNG  <-  D1Base/Mouth/2  |  X_0005_Mouth1-Kopie-2  |  256x256
Mouth3.PNG  <-  D1Base/Mouth/3  |  X_0006_Mouth1-Kopie  |  256x256
Mouth4.PNG  <-  D1Base/Mouth/4  |  X_0007_Mouth1  |  256x256
_extra/Gabriel_Bust.PNG  <-  Gabriel_Bust  |  CharacterBox  |  128x256
Mask.PNG  <-  D1Base [material Gabriel]  |  GabrielBust1Mask  |  256x256
