# SMSModForge bust art — HimariMotherBust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  HimariMom1Bust  |  256x256
_extra/HimariMotherBust.PNG  <-  HimariMotherBust  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  HimariMom1BustBlink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  HimariMom1BustAngry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  HimariMom1BustFlirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  HimariMom1BustHappy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  HimariMom1BustSad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Himaribase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  HimariMom1BustM1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  HimariMom1BustM2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  HimariMom1BustM3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  HimariMom1BustM4  |  256x256
Mask.PNG  <-  MBase1 [material HimMBase]  |  HimariMom1BustMask  |  256x256
