# SMSModForge bust art — Nikki_Bust_Topless
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Nikki_Bust_Topless  |  256x256
Blink.PNG  <-  MBase1/Blink  |  NikkiBustDefaultBlink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  NikkiBustDefaultAngry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  NikkiBustDefaultFlirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  NikkiBustDefaultHappy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  NikkiBustDefaultSad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  NikkiBustDefault  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  NikkiBustDefaultM1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  NikkiBustDefaultM2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  NikkiBustDefaultM3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  NikkiBustDefaultM4  |  256x256
_extra/Nikki_Bust_Topless.PNG  <-  Nikki_Bust_Topless  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material NikkiMask]  |  NikkiBustDefaultMask  |  256x256
