# SMSModForge bust art — NorahDefault_Bust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  NoahBust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  NoahBust1Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  NoahBust1Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  NoahBust1Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  NoahBust1Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  NoahBust1Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  NoahBust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  NoahBust1M1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  NoahBust1M2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  NoahBust1M3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  NoahBust1M4  |  256x256
_extra/NorahDefault_Bust.PNG  <-  NorahDefault_Bust  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material NoahMask]  |  NoahBust1Mask  |  256x256
