# SMSModForge bust art — NurseNina_Default
# file <- sourcePath | sprite | WxH
Base.PNG  <-  D1Base  |  Nursebust1  |  256x256
Blink.PNG  <-  D1Base/Blink  |  Nurseblink  |  256x256
ExpressionAngry.PNG  <-  D1Base/Expressions/Angry  |  nurseangry  |  256x256
ExpressionFlirty.PNG  <-  D1Base/Expressions/Flirty  |  nurseflirty  |  256x256
ExpressionHappy.PNG  <-  D1Base/Expressions/Happy  |  nursehappy  |  256x256
ExpressionSad.PNG  <-  D1Base/Expressions/Sad  |  nursesad  |  256x256
_extra/D1Base/Leave.PNG  <-  D1Base/Leave  |  Nursebust1  |  256x256
Mouth1.PNG  <-  D1Base/Mouth/1  |  nursemouth1  |  256x256
Mouth2.PNG  <-  D1Base/Mouth/2  |  nursemouth2  |  256x256
Mouth3.PNG  <-  D1Base/Mouth/3  |  nursemouth3  |  256x256
Mouth4.PNG  <-  D1Base/Mouth/4  |  nursemouth4  |  256x256
_extra/NurseNina_Default.PNG  <-  NurseNina_Default  |  CharacterBox  |  128x256
Mask.PNG  <-  D1Base [material nursemask]  |  nursemask  |  256x256
