# SMSModForge bust art — PhoenixBust_Swimsuit
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  PhoenixbaseSwim  |  256x256
Blink.PNG  <-  MBase1/Blink  |  blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Phoenixbase  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  mouth4  |  256x256
_extra/PhoenixBust_Swimsuit.PNG  <-  PhoenixBust_Swimsuit  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Phoenixshader 2]  |  PhoenixbaseMask3  |  256x256
