# SMSModForge bust art — Rockerguy_Bust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  RockerDude2  |  256x256
Blink.PNG  <-  MBase1/Blink  |  RockerDude2Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  RockerDude2_Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  RockerDude2_Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  RockerDude2_Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  RockerDude2_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Charlottebase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  RockerDude2_M1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  RockerDude2_M2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  RockerDude2_M3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  RockerDude2_M4  |  256x256
_extra/Rockerguy_Bust.PNG  <-  Rockerguy_Bust  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Rockerdudemask]  |  RockerDude2Mask  |  256x256
