# SMSModForge bust art — Roxy_Default
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Roxy_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Roxy_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Roxy_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Roxy_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Roxy_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Roxy_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Roxy_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Roxy_m1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Roxy_m2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Roxy_m3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Roxy_m4  |  256x256
_extra/Roxy_Default.PNG  <-  Roxy_Default  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material RoxyMaskShader]  |  Roxy_mask  |  256x256
