# SMSModForge bust art — S_ClayDefaultBust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  FarmerBust01  |  256x256
Blink.PNG  <-  MBase1/Blink  |  FarmerBust01Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  KirbyBust01Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  KirbyBust01Horny  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  KirbyBust01Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  KirbyBust01Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Himaribase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  FarmerBust01M1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  FarmerBust01M2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  FarmerBust01M3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  FarmerBust01M4  |  256x256
_extra/S_ClayDefaultBust.PNG  <-  S_ClayDefaultBust  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Clay]  |  FarmerBust01Mask  |  256x256
