# SMSModForge bust art — Samantha_Swimsuit
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  KMilf1bath  |  256x256
Blink.PNG  <-  MBase1/Blink  |  X_0000_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  X_0004_Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  X_0001_Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  X_0002_Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  X_0003_Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  KMilf1bath  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  X_0005_Mouth4  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  X_0006_Mouth3  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  X_0007_Mouth2  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  X_0008_Mouth1  |  256x256
_extra/Samantha_Swimsuit.PNG  <-  Samantha_Swimsuit  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material KMilf 1]  |  KMilf1Mask 1  |  256x256
