# SMSModForge bust art — Sofia_Lingerie
# file <- sourcePath | sprite | WxH
Base.PNG  <-  D1Base  |  SofiaBase5  |  256x256
Blink.PNG  <-  D1Base/Blink  |  sofiablink  |  256x256
ExpressionAngry.PNG  <-  D1Base/Expressions/Angry  |  angry  |  256x256
ExpressionFlirty.PNG  <-  D1Base/Expressions/Flirty  |  horny  |  256x256
ExpressionHappy.PNG  <-  D1Base/Expressions/Happy  |  happy  |  256x256
ExpressionSad.PNG  <-  D1Base/Expressions/Sad  |  sad  |  256x256
_extra/D1Base/Leave.PNG  <-  D1Base/Leave  |  SofiaBase5  |  256x256
Mouth1.PNG  <-  D1Base/Mouth/1  |  mouth1s  |  256x256
Mouth2.PNG  <-  D1Base/Mouth/2  |  mouth2s  |  256x256
Mouth3.PNG  <-  D1Base/Mouth/3  |  mouth3s  |  256x256
Mouth4.PNG  <-  D1Base/Mouth/4  |  mouth4s  |  256x256
_extra/Sofia_Lingerie.PNG  <-  Sofia_Lingerie  |  CharacterBox  |  128x256
Mask.PNG  <-  D1Base [material Sofia]  |  sofiamask  |  256x256
