# SMSModForge bust art — Tasha_Default
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Tashabase1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  tashablink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Tashaangry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Tashaflirt1  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  tashahappy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  tashasad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Tashabase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  tashamouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  tashamouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Tashamouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Tashamouth4  |  256x256
_extra/Tasha_Default.PNG  <-  Tasha_Default  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Tashamask]  |  Tashabase1mask2  |  256x256
