# SMSModForge bust art — V_LeilaniDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Leilani_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Leilani_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Leilani_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Leilani_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Leilani_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Leilani_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Leilani_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Leilani_Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Leilani_Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Leilani_Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Leilani_Mouth4  |  256x256
_extra/V_LeilaniDefault.PNG  <-  V_LeilaniDefault  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Leilani]  |  Leilani_Bust1Mask  |  256x256
