# SMSModForge bust art — V_SakuraDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Sakura_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Riku_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Sakura_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Sakura_horny  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Sakura_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Sakura_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Sakura_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Sakura_m1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Sakura_m2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Sakura_m3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Sakura_m4  |  256x256
_extra/V_SakuraDefault.PNG  <-  V_SakuraDefault  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material SakuraShader]  |  Sakura_Bust1Mask  |  256x256
