# SMSModForge bust art — Zuri_MotelBust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Zuri_Motelbust  |  256x256
Blink.PNG  <-  MBase1/Blink  |  X__0004_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  X__0003_Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  X__0000_Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  X__0001_Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  X__0002_Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Shopqueen1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  X__0007_Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  X__0008_Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  X__0006_Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  X__0005_Mouth4  |  256x256
_extra/Zuri_MotelBust.PNG  <-  Zuri_MotelBust  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Zuri]  |  Zurimask  |  256x256
