# SMSModForge bust art — doctorfrost_Casualbust_Preg
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Evelyn_CasualRed_Preg  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Doctorblink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  dangry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  dflirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  dhappy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  dsad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  DoctorBase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  docm1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  docm2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  docm3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  docm4  |  256x256
_extra/doctorfrost_Casualbust_Preg.PNG  <-  doctorfrost_Casualbust_Preg  |  CharacterBox  |  128x256
Mask.PNG  <-  MBase1 [material Doctormask]  |  Dmask  |  256x256
