# SMSModForge bust art — AlicePure_Dress
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  AlicePure1  |  256x256
_extra/AlicePure_Dress.PNG  <-  AlicePure_Dress  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  X_0004_Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  X_0006_Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  X_0005_Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  AlicePure1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Mouth4  |  256x256
