# SMSModForge bust art — Anna_WitchDress
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  AnnaWitchBust  |  256x256
_extra/Anna_WitchDress.PNG  <-  Anna_WitchDress  |  CharacterBox  |  128x256
_extra/MBase1/AnnaWitchBustHat.PNG  <-  MBase1/AnnaWitchBustHat  |  AnnaWitchBustHat  |  256x256
Blink.PNG  <-  MBase1/Blink  |  BustMbase1Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  M1SilverDressBust2  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Mouth4  |  256x256
