# SMSModForge bust art — AstridStoreBust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  VampireStoreBust  |  256x256
_extra/AstridStoreBust.PNG  <-  AstridStoreBust  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  VampireStoreBustBlink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  VampireStoreBustAngry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  VampireStoreBusthorny  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  VampireStoreBustHappy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  VampireStoreBustSad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  VampireStoreBust  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  VampireStoreBustM1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  VampireStoreBustM2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  VampireStoreBustM3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  VampireStoreBustM4  |  256x256
