# SMSModForge bust art — Emma_Cowbust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  D1Base  |  EmmaCowBust1  |  256x256
Blink.PNG  <-  D1Base/Blink  |  Emmablink  |  256x256
ExpressionAngry.PNG  <-  D1Base/Expressions/Angry  |  angry  |  256x256
ExpressionFlirty.PNG  <-  D1Base/Expressions/Flirty  |  flirty  |  256x256
ExpressionHappy.PNG  <-  D1Base/Expressions/Happy  |  happy  |  256x256
ExpressionSad.PNG  <-  D1Base/Expressions/Sad  |  sad  |  256x256
_extra/D1Base/Leave.PNG  <-  D1Base/Leave  |  emmabase3  |  256x256
Mouth1.PNG  <-  D1Base/Mouth/1  |  talk1  |  256x256
Mouth2.PNG  <-  D1Base/Mouth/2  |  talk2  |  256x256
Mouth3.PNG  <-  D1Base/Mouth/3  |  talk3  |  256x256
Mouth4.PNG  <-  D1Base/Mouth/4  |  talk4  |  256x256
_extra/Emma_Cowbust.PNG  <-  Emma_Cowbust  |  CharacterBox  |  128x256
