# SMSModForge bust art — Himari_Beachbust
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  HimariWhiteBikinBust  |  256x256
_extra/Himari_Beachbust.PNG  <-  Himari_Beachbust  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Himaribase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Mouth4  |  256x256
