# SMSModForge bust art — Ken_D_Out
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  KenBase1Dout  |  256x256
_extra/Ken_D_Out.PNG  <-  Ken_D_Out  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  _0004_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  _0007_Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  _0005_Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  _0008_Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  _0006_Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  KenBase1Dout  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  _0000_Mouth4  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  _0001_Mouth3  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  _0002_Mouth2  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  _0003_Mouth1  |  256x256
