# SMSModForge bust art — KirbyBustNCowgirl
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  KirbyBust03  |  256x256
_extra/KirbyBustNCowgirl.PNG  <-  KirbyBustNCowgirl  |  CharacterBox  |  128x256
Blink.PNG  <-  MBase1/Blink  |  KirbyBust01Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  KirbyBust01Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  KirbyBust01Horny  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  KirbyBust01Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  KirbyBust01Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  KirbyBust03  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  KirbyBust01M1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  KirbyBust01M2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  KirbyBust01M3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  KirbyBust01M4  |  256x256
