# SMSModForge bust art — NyxaraBust_Default
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  BDemonbase1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  BDemonblink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  angryb  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  bflirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  happyb  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  sadb  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  BDemonbase1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  bmouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  bmouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  bmouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  bmouth4  |  256x256
_extra/NyxaraBust_Default.PNG  <-  NyxaraBust_Default  |  CharacterBox  |  128x256
