# SMSModForge bust art — TomboyToni_BustDefaultCLEAN
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  TomboyBust1Clean  |  256x256
Blink.PNG  <-  MBase1/Blink  |  TomboyBust1Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  TomboyBust1Angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  TomboyBust1_Flirty  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  TomboyBust1Happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  TomboyBust1_Sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  TomboyBust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  TomboyBust1_M1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  TomboyBust1_M2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  TomboyBust1_M3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  TomboyBust1_M4  |  256x256
_extra/TomboyToni_BustDefaultCLEAN.PNG  <-  TomboyToni_BustDefaultCLEAN  |  CharacterBox  |  128x256
