# SMSModForge bust art — V_ChihiroDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Chihiro_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Chihiro_Bust1Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Chihiro_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Chihiro_horny  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Chihiro_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Chihiro_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Chihiro_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Chihiro_Mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Chihiro_Mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Chihiro_Mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Chihiro_Mouth4  |  256x256
_extra/V_ChihiroDefault.PNG  <-  V_ChihiroDefault  |  CharacterBox  |  128x256
