# SMSModForge bust art — V_FreyaDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Freya_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Freya_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Freya_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Freya_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Freya_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Freya_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Freya_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Freya_mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Freya_mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Freya_mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Freya_mouth4  |  256x256
_extra/V_FreyaDefault.PNG  <-  V_FreyaDefault  |  CharacterBox  |  128x256
