# SMSModForge bust art — V_LiamDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Liam_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Liam_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Liam_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Liam_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Liam_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Liam_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Liam_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Liam_mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Liam_mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Liam_mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Liam_mouth4  |  256x256
_extra/V_LiamDefault.PNG  <-  V_LiamDefault  |  CharacterBox  |  128x256
