# SMSModForge bust art — V_MeiRedDress
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  MeiRedDress_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Mei_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Mei_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Mei_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Mei_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Mei_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Mei_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Mei_mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Mei_mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Mei_mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Mei_mouth4  |  256x256
_extra/V_MeiRedDress.PNG  <-  V_MeiRedDress  |  CharacterBox  |  128x256
