# SMSModForge bust art — V_MichelleDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Michelle_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Michelle_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Michelle_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Michelle_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Michelle_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Michelle_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Michelle_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Michelle_mouth1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Michelle_mouth2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Michelle_mouth3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Michelle_mouth4  |  256x256
_extra/V_MichelleDefault.PNG  <-  V_MichelleDefault  |  CharacterBox  |  128x256
