# SMSModForge bust art — V_RikuDefault
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  Riku_Bust1  |  256x256
Blink.PNG  <-  MBase1/Blink  |  Riku_Blink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  Riku_angry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  Riku_sexy  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  Riku_happy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  Riku_sad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  Riku_Bust1  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  Riku_m1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  Riku_m2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  Riku_m3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  Riku_m4  |  256x256
_extra/V_RikuDefault.PNG  <-  V_RikuDefault  |  CharacterBox  |  128x256
