# SMSModForge bust art — Vanessa_Bust_Nun
# file <- sourcePath | sprite | WxH
Base.PNG  <-  MBase1  |  VanessaBust_Nun  |  256x256
Blink.PNG  <-  MBase1/Blink  |  VanessaBust_NunBlink  |  256x256
ExpressionAngry.PNG  <-  MBase1/Expressions/Angry  |  VanessaBust_NunAngry  |  256x256
ExpressionFlirty.PNG  <-  MBase1/Expressions/Flirty  |  VanessaBust_NunHorny  |  256x256
ExpressionHappy.PNG  <-  MBase1/Expressions/Happy  |  VanessaBust_NunHappy  |  256x256
ExpressionSad.PNG  <-  MBase1/Expressions/Sad  |  VanessaBust_NunSad  |  256x256
_extra/MBase1/Leave.PNG  <-  MBase1/Leave  |  VanessaBust_Nun  |  256x256
Mouth1.PNG  <-  MBase1/Mouth/1  |  VanessaBust_NunM1  |  256x256
Mouth2.PNG  <-  MBase1/Mouth/2  |  VanessaBust_NunM2  |  256x256
Mouth3.PNG  <-  MBase1/Mouth/3  |  VanessaBust_NunM3  |  256x256
Mouth4.PNG  <-  MBase1/Mouth/4  |  VanessaBust_NunM4  |  256x256
_extra/Vanessa_Bust_Nun.PNG  <-  Vanessa_Bust_Nun  |  CharacterBox  |  128x256
